Arrival rate1D,Finish rate1D,Num of unique resource1D,Process active time1D,Service time per case1D,Time in process per case1D,Waiting time in process per case1D,Num in process case1D
117,117,2,103.0833333333334,0.4131054131054134,0.8810541310541317,0.4679487179487183,0
117,117,2,106.31666666666668,0.4012820512820515,0.9086894586894588,0.5074074074074073,0
117,117,2,98.86666666666667,0.3951566951566956,0.845014245014245,0.4498575498575494,0
117,117,2,108.3333333333333,0.4099715099715102,0.9259259259259256,0.5159544159544154,0
117,117,2,108.33333333333336,0.4155270655270659,0.9259259259259262,0.5103988603988603,0
117,117,2,122.43333333333337,0.4085470085470088,1.0464387464387468,0.6378917378917379,0
117,117,2,106.13333333333334,0.4115384615384616,0.9071225071225072,0.4955840455840455,0
117,117,2,102.6833333333334,0.4064102564102568,0.8776353276353283,0.4712250712250714,0
117,117,2,108.88333333333328,0.4381766381766384,0.9306267806267802,0.4924501424501417,0
117,117,2,110.06666666666663,0.4014245014245018,0.9407407407407404,0.5393162393162387,0
117,117,2,112.11666666666667,0.402564102564103,0.9582621082621084,0.5556980056980054,0
117,117,2,100.43333333333337,0.4066951566951572,0.8584045584045585,0.4517094017094012,0
117,117,2,104.80000000000004,0.4044159544159548,0.895726495726496,0.4913105413105411,0
117,117,2,108.93333333333337,0.3930199430199433,0.9310541310541312,0.5380341880341879,0
117,117,2,105.19999999999996,0.4195156695156696,0.899145299145299,0.4796296296296293,0
117,117,2,111.43333333333337,0.4294871794871797,0.9524216524216528,0.5229344729344729,0
117,117,2,106.68333333333337,0.4237891737891738,0.911823361823362,0.4880341880341882,0
117,117,2,113.15,0.4489942528735636,0.9754310344827588,0.526436781609195,0
118,118,2,108.6166666666667,0.417937853107345,0.9204802259887008,0.5025423728813558,0
137,137,2,137.63333333333335,0.4644768856447686,1.0046228710462288,0.5401459854014603,0
83,83,2,75.71666666666667,0.4590361445783132,0.9122489959839356,0.4532128514056224,0
94,94,2,78.18333333333335,0.4806737588652484,0.8317375886524825,0.351063829787234,0
147,147,2,147.53333333333327,0.4402968036529683,1.0105022831050223,0.570205479452054,0
117,117,2,105.2,0.395584045584046,0.8991452991452992,0.5035612535612533,0
117,117,2,107.05000000000004,0.3997150997151004,0.9149572649572654,0.515242165242165,0
117,117,2,104.53333333333336,0.4085470085470088,0.8934472934472936,0.4849002849002847,0
117,117,2,120.40000000000002,0.4149572649572654,1.0290598290598292,0.6141025641025637,0
117,117,2,118.66666666666664,0.3905982905982909,1.014245014245014,0.6236467236467231,0
117,117,2,100.23333333333336,0.3990028490028493,0.856695156695157,0.4576923076923076,0
117,117,2,104.23333333333336,0.4163817663817666,0.890883190883191,0.4745014245014243,0
117,117,2,115.00000000000004,0.4326210826210828,0.9829059829059832,0.5502849002849004,0
117,117,2,110.6666666666667,0.41994301994302,0.945868945868946,0.5259259259259261,0
117,117,2,102.53333333333336,0.4045584045584046,0.8763532763532764,0.4717948717948718,0
117,117,2,102.34999999999998,0.4105413105413108,0.8747863247863246,0.4642450142450137,0
117,117,2,99.9166666666667,0.4055555555555559,0.8539886039886043,0.4484330484330484,0
117,117,2,116.95,0.4094017094017099,0.9995726495726496,0.5901709401709395,0
117,117,2,114.85000000000004,0.4240740740740745,0.981623931623932,0.5575498575498575,0
117,117,2,107.23333333333332,0.3968660968660973,0.9165242165242165,0.5196581196581191,0
117,117,2,111.20000000000005,0.4256410256410259,0.9504273504273508,0.5247863247863249,0
117,117,2,120.20000000000002,0.3799145299145301,1.0273504273504277,0.6474358974358974,0
117,117,2,119.25000000000004,0.4200854700854703,1.0192307692307696,0.5991452991452992,0
117,117,2,100.58333333333334,0.4024216524216527,0.8596866096866098,0.4572649572649571,0
117,117,2,99.13333333333335,0.3948717948717951,0.8472934472934476,0.4524216524216524,0
117,117,2,110.30000000000004,0.4155270655270657,0.942735042735043,0.5272079772079773,0
117,117,2,112.16666666666669,0.4299145299145302,0.9586894586894588,0.5287749287749286,0
117,117,2,107.2666666666667,0.3984330484330487,0.916809116809117,0.5183760683760683,0
117,117,2,103.68333333333334,0.4130747126436785,0.8938218390804598,0.4807471264367812,0
118,118,2,113.51666666666668,0.3987288135593222,0.962005649717514,0.5632768361581919,0
137,137,2,138.91666666666666,0.4523114355231148,1.0139902676399026,0.5616788321167878,0
83,83,2,78.3166666666667,0.454016064257028,0.9435742971887556,0.4895582329317274,0
94,94,2,73.65000000000003,0.4874113475177307,0.7835106382978727,0.2960992907801419,0
147,147,2,135.8166666666667,0.4407534246575342,0.9302511415525117,0.4894977168949773,0
117,117,2,111.58333333333331,0.4444444444444445,0.9537037037037036,0.509259259259259,0
140,140,2,137.11666666666665,0.3758333333333333,0.9794047619047618,0.6035714285714284,0
202,202,2,192.65000000000003,0.3817094017094016,0.987948717948718,0.6062393162393165,0
183,183,2,186.3833333333333,0.327556818181818,1.058996212121212,0.731439393939394,0
214,214,2,210.01666666666668,0.3423510466988725,1.0145732689210951,0.6722222222222225,0
214,214,2,209.2,0.3492753623188406,1.0106280193236714,0.6613526570048307,0
84,84,2,79.03333333333336,0.4440476190476191,0.9408730158730162,0.4968253968253971,0
93,93,2,77.06666666666666,0.4897849462365593,0.828673835125448,0.3388888888888887,0
127,127,2,123.09999999999997,0.4037500000000002,1.0258333333333332,0.6220833333333329,0
159,159,2,150.59999999999997,0.3958071278825994,0.9471698113207544,0.5513626834381551,0
159,159,2,148.46666666666673,0.3658991228070172,0.9767543859649128,0.6108552631578955,0
170,170,2,171.4000000000001,0.3870370370370367,1.0580246913580251,0.6709876543209887,0
117,117,2,112.90000000000002,0.454700854700855,0.9649572649572652,0.5102564102564101,0
108,108,2,95.03333333333336,0.3976897689768978,0.9409240924092414,0.5432343234323436,0
159,159,2,165.14999999999995,0.4265199161425579,1.0386792452830185,0.6121593291404606,0
169,169,2,175.41666666666663,0.3895463510848131,1.0379684418145954,0.6484220907297822,0
