act_DoneDriverReq_avg_arrival,act_DoneDriverReq_avg_duration,act_DoneDriverReq_whole_duration,act_DoneDriverReq_avgwaiting_time,act_DoneDriverReq_wholewaiting_time,act_DoneDriverReq_waiting_events,act_DoneDriverReq_finished_events,act_DoneDriverReq_idle_time,act_DoneDriverReq_inprocess_events,act_DoneDriverReq_unique_resources,act_DoneDriverReq_engaged_resources
30,0.0,0.0,0.0,0.0,0,30,0.32916666666666666,0,1,30
35,0.0,0.0,0.0,0.0,0,35,0.2797222222222222,0,1,35
42,0.0,0.0,0.0,0.0,0,42,0.22916666666666666,0,1,42
47,0.0,0.0,0.0,0.0,0,47,0.1686111111111111,0,1,47
43,0.0,0.0,0.0,0.0,0,43,0.24916666666666668,0,1,43
40,0.0,0.0,0.0,0.0,0,40,0.20583333333333334,0,1,40
42,0.0,0.0,0.0,0.0,0,42,0.22833333333333333,0,1,42
40,0.0,0.0,0.0,0.0,0,40,0.23833333333333334,0,1,40
36,0.0,0.0,0.0,0.0,0,36,0.23666666666666666,0,1,36
43,0.0,0.0,0.0,0.0,0,43,0.19916666666666666,0,1,43
33,0.0,0.0,0.0,0.0,0,33,0.25305555555555553,0,1,33
44,0.0,0.0,0.0,0.0,0,44,0.2088888888888889,0,1,44
29,0.0,0.0,0.0,0.0,0,29,0.325,0,1,29
43,0.0,0.0,0.0,0.0,0,43,0.19305555555555556,0,1,43
38,0.0,0.0,0.0,0.0,0,38,0.2602777777777778,0,1,38
36,0.0,0.0,0.0,0.0,0,36,0.21222222222222223,0,1,36
40,0.0,0.0,0.0,0.0,0,40,0.22805555555555557,0,1,40
45,0.0,0.0,0.0,0.0,0,45,0.19527777777777777,0,1,45
38,0.0,0.0,0.0,0.0,0,38,0.24583333333333332,0,1,38
32,0.0,0.0,0.0,0.0,0,32,0.23222222222222222,0,1,32
33,0.0,0.0,0.0,0.0,0,33,0.2613888888888889,0,1,33
53,0.0,0.0,0.0,0.0,0,53,0.19083333333333333,0,1,53
28,0.0,0.0,0.0,0.0,0,28,0.3325,0,1,28
36,0.0,0.0,0.0,0.0,0,36,0.2941666666666667,0,1,36
56,0.0,0.0,0.0,0.0,0,56,0.18,0,1,56
41,0.0,0.0,0.0,0.0,0,41,0.24861111111111112,0,1,41
42,0.0,0.0,0.0,0.0,0,42,0.18083333333333335,0,1,42
73,0.0,0.0,0.0,0.0,0,73,0.1597222222222222,0,1,73
49,0.0,0.0,0.0,0.0,0,49,0.2013888888888889,0,1,49
62,0.0,0.0,0.0,0.0,0,62,0.16777777777777778,0,1,62
68,0.0,0.0,0.0,0.0,0,68,0.15555555555555556,0,1,68
28,0.0,0.0,0.0,0.0,0,28,0.2683333333333333,0,1,28
37,0.0,0.0,0.0,0.0,0,37,0.2891666666666667,0,1,37
46,0.0,0.0,0.0,0.0,0,46,0.23777777777777778,0,1,46
55,0.0,0.0,0.0,0.0,0,55,0.17944444444444443,0,1,55
46,0.0,0.0,0.0,0.0,0,46,0.2461111111111111,0,1,46
63,0.0,0.0,0.0,0.0,0,63,0.16944444444444445,0,1,63
52,0.0,0.0,0.0,0.0,0,52,0.1938888888888889,0,1,52
