act_ProcessNextdriverReq_avg_arrival,act_ProcessNextdriverReq_avg_duration,act_ProcessNextdriverReq_whole_duration,act_ProcessNextdriverReq_avgwaiting_time,act_ProcessNextdriverReq_wholewaiting_time,act_ProcessNextdriverReq_waiting_events,act_ProcessNextdriverReq_finished_events,act_ProcessNextdriverReq_idle_time,act_ProcessNextdriverReq_inprocess_events,act_ProcessNextdriverReq_unique_resources,act_ProcessNextdriverReq_engaged_resources
37,0.36027777777777775,13.333333333333334,0.3306306306306306,12.233333333333333,26,37,23.852222222222224,0,1,37
37,0.36194444444444446,13.4,0.2896396396396396,10.716666666666667,25,37,23.8875,0,1,37
40,0.3552777777777778,14.216666666666667,0.3829166666666667,15.316666666666666,29,40,23.870833333333334,0,1,40
38,0.35638888888888887,13.55,0.37675438596491234,14.316666666666668,28,38,23.889166666666668,0,1,38
38,0.3675,13.966666666666667,0.40175438596491225,15.266666666666666,24,38,23.851666666666667,0,1,38
28,0.36944444444444446,10.35,0.2648809523809524,7.416666666666666,18,28,23.97888888888889,0,1,28
40,0.3552777777777778,14.216666666666667,0.4525,18.1,31,40,23.894444444444446,0,1,40
36,0.35138888888888886,12.65,0.524537037037037,18.883333333333333,27,36,23.86138888888889,0,1,36
36,0.3522222222222222,12.683333333333334,0.5319444444444444,19.15,26,36,23.862222222222222,0,1,36
40,0.3527777777777778,14.116666666666667,0.5158333333333334,20.633333333333333,29,40,23.886944444444445,0,1,40
43,0.33944444444444444,14.6,0.762015503875969,32.766666666666666,34,43,23.843888888888888,0,1,43
35,0.36277777777777775,12.7,0.2833333333333333,9.916666666666666,24,35,23.899444444444445,0,1,35
42,0.3472222222222222,14.583333333333334,0.5432539682539682,22.816666666666666,34,42,23.845277777777778,0,1,42
38,0.3561111111111111,13.533333333333333,0.46491228070175444,17.666666666666668,27,38,23.87638888888889,0,1,38
47,0.3527777777777778,16.583333333333332,0.5613475177304965,26.383333333333336,33,47,23.865833333333335,0,1,47
33,0.38972222222222225,12.866666666666667,0.19545454545454546,6.45,16,33,23.89527777777778,0,1,33
35,0.365,12.783333333333333,0.33952380952380956,11.883333333333335,24,35,23.911666666666665,0,1,35
39,0.3463888888888889,13.516666666666667,0.6247863247863248,24.366666666666667,30,39,23.879722222222224,0,1,39
36,0.36694444444444446,13.216666666666667,0.37407407407407406,13.466666666666667,23,36,23.904722222222222,0,1,36
32,0.37444444444444447,11.983333333333333,0.2739583333333333,8.766666666666666,19,32,23.86,0,1,32
46,0.34305555555555556,15.783333333333333,0.6829710144927537,31.416666666666668,36,46,23.885,0,1,46
47,0.3427777777777778,16.116666666666667,0.7386524822695036,34.71666666666667,37,47,23.875,0,1,47
46,0.3416666666666667,15.716666666666667,0.716304347826087,32.95,36,46,23.880555555555556,0,1,46
48,0.33555555555555555,16.116666666666667,0.7298611111111111,35.03333333333333,42,48,23.830277777777777,0,1,48
40,0.3552777777777778,14.216666666666667,0.44833333333333325,17.93333333333333,29,40,23.896944444444443,0,1,40
53,0.3527777777777778,18.7,0.4135220125786164,21.91666666666667,41,53,23.836944444444445,0,1,53
31,0.3605555555555556,11.183333333333334,0.5021505376344086,15.566666666666666,21,31,23.942777777777778,0,1,31
33,0.38472222222222224,12.7,0.2782828282828283,9.183333333333334,16,33,23.93777777777778,0,1,33
54,0.3438888888888889,18.583333333333332,0.6225308641975308,33.61666666666666,43,54,23.83361111111111,0,1,54
35,0.3536111111111111,12.383333333333333,0.48428571428571426,16.95,24,35,23.8975,0,1,35
36,0.3541666666666667,12.75,0.5245370370370371,18.883333333333336,26,36,23.913611111111113,0,1,36
42,0.34194444444444444,14.366666666666667,0.7007936507936507,29.433333333333334,32,42,23.839166666666667,0,1,42
38,0.3427777777777778,13.033333333333333,0.6385964912280703,24.26666666666667,30,38,23.859444444444446,0,1,38
30,0.40055555555555555,12.016666666666667,0.12611111111111112,3.783333333333333,11,30,23.93027777777778,0,1,30
35,0.37222222222222223,13.033333333333333,0.31476190476190474,11.016666666666666,20,35,23.90972222222222,0,1,35
42,0.35194444444444445,14.783333333333333,0.5666666666666667,23.8,30,42,23.879444444444445,0,1,42
47,0.3375,15.866666666666667,0.7102836879432626,33.38333333333334,39,47,23.83388888888889,0,1,47
43,0.3522222222222222,15.15,0.44379844961240306,19.083333333333332,33,43,23.899166666666666,0,1,43
40,0.3466666666666667,13.866666666666667,0.5008333333333332,20.03333333333333,31,40,23.861944444444443,0,1,40
42,0.3416666666666667,14.35,0.7158730158730159,30.066666666666666,33,42,23.889166666666668,0,1,42
40,0.3527777777777778,14.116666666666667,0.54125,21.65,27,40,23.887777777777778,0,1,40
36,0.36194444444444446,13.033333333333333,0.4615740740740741,16.616666666666667,22,36,23.8775,0,1,36
43,0.34833333333333333,14.983333333333333,0.6767441860465115,29.099999999999998,31,43,23.85333333333333,0,1,43
33,0.3655555555555556,12.066666666666666,0.3191919191919192,10.533333333333333,21,33,23.89,0,1,33
44,0.34194444444444444,15.05,0.6602272727272728,29.05,34,44,23.86916666666667,0,1,44
29,0.4,11.6,0.13045977011494253,3.783333333333333,11,29,23.927222222222223,0,1,29
43,0.3461111111111111,14.883333333333333,0.7511627906976743,32.3,32,43,23.849444444444444,0,1,43
38,0.35083333333333333,13.333333333333334,0.5368421052631579,20.400000000000002,27,38,23.911944444444444,0,1,38
36,0.3522222222222222,12.683333333333334,0.5023148148148147,18.08333333333333,26,36,23.86277777777778,0,1,36
40,0.3516666666666667,14.066666666666666,0.44791666666666663,17.916666666666664,31,40,23.879444444444445,0,1,40
