act_AcceptDriverReq_avg_arrival,act_AcceptDriverReq_avg_duration,act_AcceptDriverReq_whole_duration,act_AcceptDriverReq_avgwaiting_time,act_AcceptDriverReq_wholewaiting_time,act_AcceptDriverReq_waiting_events,act_AcceptDriverReq_finished_events,act_AcceptDriverReq_idle_time,act_AcceptDriverReq_inprocess_events,act_AcceptDriverReq_unique_resources,act_AcceptDriverReq_engaged_resources
36,0.35305555555555557,12.716666666666667,0.0,0.0,0,36,23.898888888888887,0,1,36
42,0.34,14.283333333333333,0.0,0.0,0,42,23.826666666666668,0,1,42
38,0.3433333333333333,13.05,0.0,0.0,0,38,23.837777777777777,0,1,38
30,0.3983333333333333,11.95,0.0,0.0,0,30,23.90861111111111,0,1,30
35,0.37416666666666665,13.1,0.0,0.0,0,35,23.888055555555557,0,1,35
42,0.35055555555555556,14.733333333333333,0.0,0.0,0,42,23.86861111111111,0,1,42
47,0.33805555555555555,15.9,0.0,0.0,0,47,23.81111111111111,0,1,47
43,0.3516666666666667,15.133333333333333,0.0,0.0,0,43,23.86111111111111,0,1,43
40,0.34694444444444444,13.883333333333333,0.0,0.0,0,40,23.82888888888889,0,1,40
42,0.34444444444444444,14.466666666666667,0.0,0.0,0,42,23.868055555555557,0,1,42
40,0.3525,14.1,0.0,0.0,0,40,23.877777777777776,0,1,40
36,0.3597222222222222,12.95,0.0,0.0,0,36,23.869444444444444,0,1,36
43,0.3486111111111111,15.0,0.0,0.0,0,43,23.839444444444446,0,1,43
33,0.3661111111111111,12.083333333333334,0.0,0.0,0,33,23.883333333333333,0,1,33
44,0.3427777777777778,15.083333333333334,0.0,0.0,0,44,23.841666666666665,0,1,44
29,0.39805555555555555,11.55,0.0,0.0,0,29,23.884444444444444,0,1,29
43,0.3466666666666667,14.916666666666666,0.0,0.0,0,43,23.844444444444445,0,1,43
38,0.35194444444444445,13.383333333333333,0.0,0.0,0,38,23.890833333333333,0,1,38
36,0.3522222222222222,12.683333333333334,0.0,0.0,0,36,23.838333333333335,0,1,36
40,0.35083333333333333,14.033333333333333,0.0,0.0,0,40,23.85361111111111,0,1,40
45,0.34,15.3,0.0,0.0,0,45,23.83861111111111,0,1,45
38,0.34805555555555556,13.233333333333333,0.0,0.0,0,38,23.89388888888889,0,1,38
32,0.37222222222222223,11.916666666666666,0.0,0.0,0,32,23.84611111111111,0,1,32
33,0.36694444444444446,12.116666666666667,0.0,0.0,0,33,23.885833333333334,0,1,33
53,0.3422222222222222,18.15,0.0,0.0,0,53,23.828333333333333,0,1,53
28,0.3725,10.433333333333334,0.0,0.0,0,28,23.962777777777777,0,1,28
36,0.38416666666666666,13.833333333333334,0.0,0.0,0,36,23.89666666666667,0,1,36
56,0.35083333333333333,19.65,0.0,0.0,0,56,23.808888888888887,0,1,56
41,0.36083333333333334,14.8,0.0,0.0,0,41,23.86277777777778,0,1,41
42,0.3438888888888889,14.45,0.0,0.0,0,42,23.799444444444443,0,1,42
73,0.32416666666666666,23.683333333333334,0.0,0.0,0,73,23.81138888888889,0,1,73
49,0.3397222222222222,16.65,0.0,0.0,0,49,23.842222222222222,0,1,49
62,0.33194444444444443,20.583333333333332,0.0,0.0,0,62,23.814722222222223,0,1,62
68,0.3161111111111111,21.5,0.0,0.0,0,68,23.81388888888889,0,1,68
28,0.3605555555555556,10.1,0.0,0.0,0,28,23.851111111111113,0,1,28
37,0.3711111111111111,13.733333333333333,0.0,0.0,0,37,23.89527777777778,0,1,37
46,0.3333333333333333,15.333333333333334,0.0,0.0,0,46,23.863333333333333,0,1,46
55,0.33361111111111114,18.35,0.0,0.0,0,55,23.83277777777778,0,1,55
46,0.34,15.65,0.0,0.0,0,46,23.873333333333335,0,1,46
63,0.3269444444444444,20.6,0.0,0.0,0,63,23.815833333333334,0,1,63
52,0.3397222222222222,17.666666666666668,0.0,0.0,0,52,23.83361111111111,0,1,52
34,0.3475,11.816666666666666,0.0,0.0,0,34,23.7675,0,1,34
62,0.3338888888888889,20.716666666666665,0.0,0.0,0,62,23.80527777777778,0,1,62
64,0.31777777777777777,20.35,0.0,0.0,0,64,23.8075,0,1,64
75,0.32416666666666666,0.31666666666666665,0.0,0.0,0,75,23.809444444444445,0,1,75
20,0.3958333333333333,7.916666666666667,0.0,0.0,0,20,0.025277777777777777,0,1,20
37,0.3675,13.6,0.0,0.0,0,37,23.906944444444445,0,1,37
36,0.3661111111111111,13.183333333333334,0.0,0.0,0,36,23.888333333333332,0,1,36
47,0.33944444444444444,15.966666666666667,0.0,0.0,0,47,23.81138888888889,0,1,47
43,0.35638888888888887,15.333333333333334,0.0,0.0,0,43,23.876944444444444,0,1,43
41,0.3552777777777778,14.566666666666666,0.0,0.0,0,41,23.7925,0,1,41
35,0.37666666666666665,13.183333333333334,0.0,0.0,0,35,23.914166666666667,0,1,35
66,0.32222222222222224,21.266666666666666,0.0,0.0,0,66,23.81388888888889,0,1,66
45,0.34833333333333333,15.683333333333334,0.0,0.0,0,45,23.829166666666666,0,1,45
46,0.3386111111111111,15.583333333333334,0.0,0.0,0,46,23.816111111111113,0,1,46
62,0.3427777777777778,21.266666666666666,0.0,0.0,0,62,23.817222222222224,0,1,62
56,0.33111111111111113,18.55,0.0,0.0,0,56,23.79138888888889,0,1,56
64,0.325,20.8,0.0,0.0,0,64,23.815555555555555,0,1,64
52,0.3566666666666667,18.55,0.0,0.0,0,52,23.81388888888889,0,1,52
31,0.35583333333333333,11.033333333333333,0.0,0.0,0,31,23.841666666666665,0,1,31
36,0.37305555555555553,13.433333333333334,0.0,0.0,0,36,23.90277777777778,0,1,36
