act_DoneCarReq_avg_arrival,act_DoneCarReq_avg_duration,act_DoneCarReq_whole_duration,act_DoneCarReq_avgwaiting_time,act_DoneCarReq_wholewaiting_time,act_DoneCarReq_waiting_events,act_DoneCarReq_finished_events,act_DoneCarReq_idle_time,act_DoneCarReq_inprocess_events,act_DoneCarReq_unique_resources,act_DoneCarReq_engaged_resources
94,0.0,0.0,0.0,0.0,0,94,0.105,0,1,94
107,0.0,0.0,0.0,0.0,0,107,0.10083333333333333,0,1,107
48,0.0,0.0,0.0,0.0,0,48,0.19111111111111112,0,1,48
50,0.0,0.0,0.0,0.0,0,50,0.21916666666666668,0,1,50
64,0.0,0.0,0.0,0.0,0,64,0.15638888888888888,0,1,64
76,0.0,0.0,0.0,0.0,0,76,0.12333333333333334,0,1,76
73,0.0,0.0,0.0,0.0,0,73,0.14944444444444444,0,1,73
81,0.0,0.0,0.0,0.0,0,81,0.12333333333333334,0,1,81
57,0.0,0.0,0.0,0.0,0,57,0.16694444444444445,0,1,57
50,0.0,0.0,0.0,0.0,0,50,0.1613888888888889,0,1,50
77,0.0,0.0,0.0,0.0,0,77,0.13361111111111112,0,1,77
84,0.0,0.0,0.0,0.0,0,84,0.10861111111111112,0,1,84
88,0.0,0.0,0.0,0.0,0,88,0.11972222222222222,0,1,88
50,0.0,0.0,0.0,0.0,0,50,0.1836111111111111,0,1,50
52,0.0,0.0,0.0,0.0,0,52,0.2038888888888889,0,1,52
55,0.0,0.0,0.0,0.0,0,55,0.1763888888888889,0,1,55
65,0.0,0.0,0.0,0.0,0,65,0.1213888888888889,0,1,65
62,0.0,0.0,0.0,0.0,0,62,0.17555555555555555,0,1,62
58,0.0,0.0,0.0,0.0,0,58,0.15722222222222224,0,1,58
47,0.0,0.0,0.0,0.0,0,47,0.22111111111111112,0,1,47
54,0.0,0.0,0.0,0.0,0,54,0.18222222222222223,0,1,54
54,0.0,0.0,0.0,0.0,0,54,0.1502777777777778,0,1,54
49,0.0,0.0,0.0,0.0,0,49,0.21611111111111111,0,1,49
62,0.0,0.0,0.0,0.0,0,62,0.1475,0,1,62
53,0.0,0.0,0.0,0.0,0,53,0.1963888888888889,0,1,53
73,0.0,0.0,0.0,0.0,0,73,0.13333333333333333,0,1,73
58,0.0,0.0,0.0,0.0,0,58,0.16833333333333333,0,1,58
53,0.0,0.0,0.0,0.0,0,53,0.14527777777777778,0,1,53
55,0.0,0.0,0.0,0.0,0,55,0.1575,0,1,55
66,0.0,0.0,0.0,0.0,0,66,0.1486111111111111,0,1,66
67,0.0,0.0,0.0,0.0,0,67,0.14277777777777778,0,1,67
62,0.0,0.0,0.0,0.0,0,62,0.16111111111111112,0,1,62
63,0.0,0.0,0.0,0.0,0,63,0.15444444444444444,0,1,63
56,0.0,0.0,0.0,0.0,0,56,0.17,0,1,56
57,0.0,0.0,0.0,0.0,0,57,0.14916666666666667,0,1,57
49,0.0,0.0,0.0,0.0,0,49,0.1661111111111111,0,1,49
63,0.0,0.0,0.0,0.0,0,63,0.15333333333333332,0,1,63
62,0.0,0.0,0.0,0.0,0,62,0.16555555555555557,0,1,62
67,0.0,0.0,0.0,0.0,0,67,0.14916666666666667,0,1,67
