Finished cases,Num in process cases,Number of rejected cases,Finished cases,Arrival rate,Process active time,Number of unique resources,Number of experts resources,Service time per case
2315.53,5265.4,5.21E+03,2315.53,50.9752,83669.5,8.13E-20,6,15.8904
2331.42,5300.48,5.24E+03,2331.42,51.9201,94368.6,4.07E-20,6,17.8038
2349.23,5334.6,5.28E+03,2349.23,41.4327,84391.6,2.03E-20,6,15.8197
2365.05,5360.21,5.30E+03,2365.05,43.5825,97478.5,1.02E-20,6,18.1856
2383.23,5385.61,5.33E+03,2383.23,46.4069,78813.3,5.08E-21,6,14.6341
2397.87,5417.38,5.36E+03,2397.87,44.0341,77599.5,2.54E-21,6,14.3242
2412.19,5447.09,5.39E+03,2412.19,54.676,125590,1.27E-21,6,23.0563
2435.25,5478.71,5.42E+03,2435.25,44.8154,87074.4,6.35E-22,6,15.8932
2451.14,5507.63,5.45E+03,2451.14,53.0862,97993.6,3.18E-22,6,17.7923
2468.93,5542.93,5.49E+03,2468.93,45.539,99664.6,1.59E-22,6,17.9805
2486.91,5570.48,5.51E+03,2486.91,38.6168,89887.7,7.94E-23,6,16.1364
2503.05,5592.96,5.54E+03,2503.05,39.6551,104501,3.97E-23,6,18.6844
2521.73,5613.94,5.56E+03,2521.73,46.7389,104851,1.99E-23,6,18.677
2540.41,5642,5.58E+03,2540.41,55.8288,82955.1,9.93E-24,6,14.7031
2555.11,5683.12,5.63E+03,2555.11,43.14,81494.4,4.96E-24,6,14.3397
